     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,        17,         0,   0.010,fusion_blossom,85b1910107c8371db4ea86b9791495d79bcd582a5a61fdd104dc6a60b4683af2,"{""d"":3,""p"":0.012,""rounds"":3}",
      1297,        62,         0,   0.019,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      1024,        70,         0,   0.016,fusion_blossom,85b1910107c8371db4ea86b9791495d79bcd582a5a61fdd104dc6a60b4683af2,"{""d"":3,""p"":0.012,""rounds"":3}",
      1024,        36,         0,   0.016,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      1024,        96,         0,   0.017,fusion_blossom,85b1910107c8371db4ea86b9791495d79bcd582a5a61fdd104dc6a60b4683af2,"{""d"":3,""p"":0.012,""rounds"":3}",
      1024,        45,         0,   0.014,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
       273,        13,         0,   0.034,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
       273,        30,         0,   0.061,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,        62,         0,   0.515,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1297,       107,         0,   0.003,pymatching,19409a8ff013c6d9d9e5d172151082dd7f8a9081e6030a199af554c74e41c0e3,"{""d"":3,""p"":0.012,""rounds"":3}",
      2321,       106,         0,   0.003,pymatching,4104f79e8fdf1363a56e14a5b368cdc57190c227819dc4c69deaeb9bd608f336,"{""d"":3,""p"":0.008,""rounds"":3}",
         1,         0,         0,   0.001,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
         1,         0,         0,   0.001,pymatching,1c61726f4ad9c12650c3ca2cb2e1a87865263a79a366a04fb9c2e0489b9d4e22,"{""d"":5,""p"":0.012,""rounds"":5}",
      1296,        68,         0,   0.013,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
      1024,        44,         0,   0.007,pymatching,eff6f84e6085b3c3981aaa4f746c518b66c0a2cf0c456f9a00d918fa18cd12f4,"{""d"":5,""p"":0.008,""rounds"":5}",
      1296,       163,         0,   0.016,pymatching,1c61726f4ad9c12650c3ca2cb2e1a87865263a79a366a04fb9c2e0489b9d4e22,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,       133,         0,   0.699,fusion_blossom,277a58e233e862a3be262f22c5b7a5a21a07b7eaf82f6f585b51f45fc3e938b2,"{""d"":5,""p"":0.012,""rounds"":5}",
      1024,        50,         0,   0.242,fusion_blossom,aa3948b136a890ebbeb59bfd4c5803079fad6e490e65e431b87df2c9715f1a84,"{""d"":5,""p"":0.008,""rounds"":5}",
      1297,        16,         0,   0.019,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      1297,        34,         0,   0.023,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      1297,        51,         0,   0.024,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      1297,        81,         0,   0.026,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      1024,        12,         0,   0.014,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      1024,        19,         0,   0.015,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      1024,        40,         0,   0.017,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      1024,        53,         0,   0.024,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      2048,        25,         0,   0.025,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      2048,        51,         0,   0.026,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      1024,        67,         0,   0.020,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      2048,        88,         0,   0.032,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      3072,        38,         0,   0.036,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      2048,        44,         0,   0.029,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      2048,       129,         0,   0.037,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      2048,        83,         0,   0.036,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      4096,        54,         0,   0.048,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      3072,        72,         0,   0.050,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      3072,       116,         0,   0.048,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      3072,       181,         0,   0.053,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      5120,        60,         0,   0.063,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      5120,       130,         0,   0.068,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      3072,       171,         0,   0.054,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      4096,       137,         0,   0.064,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      6144,       154,         0,   0.076,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      8192,       104,         0,   0.083,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      5120,       330,         0,   0.079,fusion_blossom,2f2a195ac98e903293062d5cda6354b6a8c9f7340ec68fd7fdb22e2471a859e8,"{""d"":3,""p"":0.01,""rounds"":3}",
      6144,       262,         0,   0.083,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      3072,       103,         0,   0.039,fusion_blossom,2ab29f56dc4ffdab034f3589b663d882274b3218ee2f0d67ea4265fc800be28d,"{""d"":3,""p"":0.008,""rounds"":3}",
      9216,       218,         0,   0.105,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
      1297,       119,         0,   0.024,fusion_blossom,85b1910107c8371db4ea86b9791495d79bcd582a5a61fdd104dc6a60b4683af2,"{""d"":3,""p"":0.012,""rounds"":3}",
     11264,       129,         0,   0.109,fusion_blossom,397cf6e777f6412f92e3db4afe4f2ffa085db09ff2336fee6904e65bc47da1ea,"{""d"":3,""p"":0.004,""rounds"":3}",
      1024,        71,         0,   0.040,fusion_blossom,85b1910107c8371db4ea86b9791495d79bcd582a5a61fdd104dc6a60b4683af2,"{""d"":3,""p"":0.012,""rounds"":3}",
      1024,        82,         0,   0.107,fusion_blossom,85b1910107c8371db4ea86b9791495d79bcd582a5a61fdd104dc6a60b4683af2,"{""d"":3,""p"":0.012,""rounds"":3}",
      3072,        83,         0,   0.262,fusion_blossom,04784140fe10df3dabc515072bcc1b2634576553efbab1190cce00210f4ae892,"{""d"":3,""p"":0.006,""rounds"":3}",
